Entity,Year,Births per woman
Africa,1950,6.561
Africa,1951,6.563
Africa,1952,6.568
Africa,1953,6.575
Africa,1954,6.584
Africa,1955,6.595
Africa,1956,6.607
Africa,1957,6.621
Africa,1958,6.635
Africa,1959,6.651
Africa,1960,6.665
Africa,1961,6.679
Africa,1962,6.69
Africa,1963,6.699
Africa,1964,6.705
Africa,1965,6.709
Africa,1966,6.71
Africa,1967,6.711
Africa,1968,6.711
Africa,1969,6.711
Africa,1970,6.71
Africa,1971,6.709
Africa,1972,6.706
Africa,1973,6.701
Africa,1974,6.693
Africa,1975,6.682
Africa,1976,6.67
Africa,1977,6.654
Africa,1978,6.637
Africa,1979,6.616
Africa,1980,6.59
Africa,1981,6.56
Africa,1982,6.523
Africa,1983,6.479
Africa,1984,6.428
Africa,1985,6.369
Africa,1986,6.301
Africa,1987,6.224
Africa,1988,6.141
Africa,1989,6.052
Africa,1990,5.96
Africa,1991,5.867
Africa,1992,5.775
Africa,1993,5.686
Africa,1994,5.602
Africa,1995,5.523
Africa,1996,5.45
Africa,1997,5.381
Africa,1998,5.316
Africa,1999,5.255
Africa,2000,5.199
Africa,2001,5.147
Africa,2002,5.099
Africa,2003,5.056
Africa,2004,5.017
Africa,2005,4.981
Africa,2006,4.947
Africa,2007,4.916
Africa,2008,4.886
Africa,2009,4.856
Africa,2010,4.823
Africa,2011,4.787
Africa,2012,4.746
Africa,2013,4.7
Africa,2014,4.648
Africa,2015,4.593
Africa,2016,4.534
Africa,2017,4.473
Africa,2018,4.413
Africa,2019,4.353
Africa,2020,4.295
Asia,1950,6.048
Asia,1951,5.982
Asia,1952,5.862
Asia,1953,5.765
Asia,1954,5.691
Asia,1955,5.639
Asia,1956,5.61
Asia,1957,5.602
Asia,1958,5.613
Asia,1959,5.641
Asia,1960,5.68
Asia,1961,5.725
Asia,1962,5.771
Asia,1963,5.81
Asia,1964,5.835
Asia,1965,5.839
Asia,1966,5.817
Asia,1967,5.769
Asia,1968,5.695
Asia,1969,5.596
Asia,1970,5.469
Asia,1971,5.316
Asia,1972,5.14
Asia,1973,4.95
Asia,1974,4.752
Asia,1975,4.557
Asia,1976,4.372
Asia,1977,4.204
Asia,1978,4.057
Asia,1979,3.933
Asia,1980,3.837
Asia,1981,3.766
Asia,1982,3.715
Asia,1983,3.675
Asia,1984,3.641
Asia,1985,3.605
Asia,1986,3.556
Asia,1987,3.492
Asia,1988,3.411
Asia,1989,3.313
Asia,1990,3.203
Asia,1991,3.087
Asia,1992,2.975
Asia,1993,2.875
Asia,1994,2.789
Asia,1995,2.719
Asia,1996,2.664
Asia,1997,2.619
Asia,1998,2.58
Asia,1999,2.545
Asia,2000,2.513
Asia,2001,2.483
Asia,2002,2.456
Asia,2003,2.431
Asia,2004,2.407
Asia,2005,2.384
Asia,2006,2.36
Asia,2007,2.336
Asia,2008,2.312
Asia,2009,2.288
Asia,2010,2.264
Asia,2011,2.242
Asia,2012,2.222
Asia,2013,2.204
Asia,2014,2.189
Asia,2015,2.176
Asia,2016,2.165
Asia,2017,2.154
Asia,2018,2.143
Asia,2019,2.133
Asia,2020,2.121
Europe,1950,2.644
Europe,1951,2.65
Europe,1952,2.662
Europe,1953,2.671
Europe,1954,2.676
Europe,1955,2.677
Europe,1956,2.676
Europe,1957,2.671
Europe,1958,2.662
Europe,1959,2.649
Europe,1960,2.631
Europe,1961,2.609
Europe,1962,2.583
Europe,1963,2.551
Europe,1964,2.516
Europe,1965,2.478
Europe,1966,2.437
Europe,1967,2.395
Europe,1968,2.353
Europe,1969,2.312
Europe,1970,2.271
Europe,1971,2.23
Europe,1972,2.189
Europe,1973,2.148
Europe,1974,2.107
Europe,1975,2.067
Europe,1976,2.03
Europe,1977,1.996
Europe,1978,1.966
Europe,1979,1.94
Europe,1980,1.918
Europe,1981,1.901
Europe,1982,1.888
Europe,1983,1.878
Europe,1984,1.868
Europe,1985,1.855
Europe,1986,1.837
Europe,1987,1.812
Europe,1988,1.78
Europe,1989,1.741
Europe,1990,1.696
Europe,1991,1.648
Europe,1992,1.6
Europe,1993,1.555
Europe,1994,1.515
Europe,1995,1.482
Europe,1996,1.455
Europe,1997,1.435
Europe,1998,1.421
Europe,1999,1.413
Europe,2000,1.411
Europe,2001,1.416
Europe,2002,1.428
Europe,2003,1.445
Europe,2004,1.467
Europe,2005,1.491
Europe,2006,1.516
Europe,2007,1.539
Europe,2008,1.559
Europe,2009,1.575
Europe,2010,1.588
Europe,2011,1.596
Europe,2012,1.601
Europe,2013,1.604
Europe,2014,1.607
Europe,2015,1.608
Europe,2016,1.609
Europe,2017,1.61
Europe,2018,1.61
Europe,2019,1.61
Europe,2020,1.611
Northern America,1950,3.084
Northern America,1951,3.159
Northern America,1952,3.298
Northern America,1953,3.412
Northern America,1954,3.501
Northern America,1955,3.566
Northern America,1956,3.606
Northern America,1957,3.622
Northern America,1958,3.613
Northern America,1959,3.578
Northern America,1960,3.52
Northern America,1961,3.437
Northern America,1962,3.332
Northern America,1963,3.209
Northern America,1964,3.073
Northern America,1965,2.929
Northern America,1966,2.782
Northern America,1967,2.636
Northern America,1968,2.497
Northern America,1969,2.368
Northern America,1970,2.252
Northern America,1971,2.15
Northern America,1972,2.059
Northern America,1973,1.979
Northern America,1974,1.91
Northern America,1975,1.853
Northern America,1976,1.809
Northern America,1977,1.778
Northern America,1978,1.759
Northern America,1979,1.749
Northern America,1980,1.749
Northern America,1981,1.757
Northern America,1982,1.77
Northern America,1983,1.788
Northern America,1984,1.807
Northern America,1985,1.829
Northern America,1986,1.851
Northern America,1987,1.876
Northern America,1988,1.902
Northern America,1989,1.928
Northern America,1990,1.951
Northern America,1991,1.97
Northern America,1992,1.982
Northern America,1993,1.987
Northern America,1994,1.986
Northern America,1995,1.981
Northern America,1996,1.974
Northern America,1997,1.967
Northern America,1998,1.964
Northern America,1999,1.964
Northern America,2000,1.969
Northern America,2001,1.978
Northern America,2002,1.989
Northern America,2003,2.001
Northern America,2004,2.012
Northern America,2005,2.018
Northern America,2006,2.018
Northern America,2007,2.01
Northern America,2008,1.994
Northern America,2009,1.97
Northern America,2010,1.941
Northern America,2011,1.907
Northern America,2012,1.873
Northern America,2013,1.841
Northern America,2014,1.812
Northern America,2015,1.789
Northern America,2016,1.771
Northern America,2017,1.759
Northern America,2018,1.751
Northern America,2019,1.747
Northern America,2020,1.746
Oceania,1950,3.727
Oceania,1951,3.774
Oceania,1952,3.861
Oceania,1953,3.935
Oceania,1954,3.996
Oceania,1955,4.044
Oceania,1956,4.078
Oceania,1957,4.099
Oceania,1958,4.106
Oceania,1959,4.1
Oceania,1960,4.079
Oceania,1961,4.045
Oceania,1962,3.998
Oceania,1963,3.939
Oceania,1964,3.871
Oceania,1965,3.798
Oceania,1966,3.722
Oceania,1967,3.646
Oceania,1968,3.571
Oceania,1969,3.499
Oceania,1970,3.427
Oceania,1971,3.351
Oceania,1972,3.269
Oceania,1973,3.18
Oceania,1974,3.086
Oceania,1975,2.991
Oceania,1976,2.9
Oceania,1977,2.82
Oceania,1978,2.754
Oceania,1979,2.703
Oceania,1980,2.666
Oceania,1981,2.64
Oceania,1982,2.62
Oceania,1983,2.603
Oceania,1984,2.587
Oceania,1985,2.571
Oceania,1986,2.555
Oceania,1987,2.542
Oceania,1988,2.533
Oceania,1989,2.526
Oceania,1990,2.522
Oceania,1991,2.518
Oceania,1992,2.515
Oceania,1993,2.511
Oceania,1994,2.505
Oceania,1995,2.499
Oceania,1996,2.49
Oceania,1997,2.481
Oceania,1998,2.473
Oceania,1999,2.465
Oceania,2000,2.46
Oceania,2001,2.46
Oceania,2002,2.466
Oceania,2003,2.477
Oceania,2004,2.491
Oceania,2005,2.506
Oceania,2006,2.518
Oceania,2007,2.525
Oceania,2008,2.524
Oceania,2009,2.516
Oceania,2010,2.5
Oceania,2011,2.479
Oceania,2012,2.456
Oceania,2013,2.433
Oceania,2014,2.412
Oceania,2015,2.393
Oceania,2016,2.378
Oceania,2017,2.363
Oceania,2018,2.35
Oceania,2019,2.337
Oceania,2020,2.325
South America,1950,5.606
South America,1951,5.608
South America,1952,5.614
South America,1953,5.62
South America,1954,5.627
South America,1955,5.634
South America,1956,5.641
South America,1957,5.648
South America,1958,5.652
South America,1959,5.651
South America,1960,5.642
South America,1961,5.622
South America,1962,5.588
South America,1963,5.538
South America,1964,5.472
South America,1965,5.388
South America,1966,5.29
South America,1967,5.18
South America,1968,5.063
South America,1969,4.943
South America,1970,4.825
South America,1971,4.714
South America,1972,4.612
South America,1973,4.518
South America,1974,4.434
South America,1975,4.359
South America,1976,4.288
South America,1977,4.219
South America,1978,4.148
South America,1979,4.073
South America,1980,3.992
South America,1981,3.905
South America,1982,3.813
South America,1983,3.719
South America,1984,3.624
South America,1985,3.529
South America,1986,3.436
South America,1987,3.347
South America,1988,3.263
South America,1989,3.184
South America,1990,3.111
South America,1991,3.043
South America,1992,2.979
South America,1993,2.917
South America,1994,2.858
South America,1995,2.799
South America,1996,2.741
South America,1997,2.682
South America,1998,2.622
South America,1999,2.563
South America,2000,2.504
South America,2001,2.445
South America,2002,2.388
South America,2003,2.333
South America,2004,2.281
South America,2005,2.233
South America,2006,2.19
South America,2007,2.152
South America,2008,2.118
South America,2009,2.088
South America,2010,2.063
South America,2011,2.041
South America,2012,2.023
South America,2013,2.007
South America,2014,1.992
South America,2015,1.978
South America,2016,1.964
South America,2017,1.951
South America,2018,1.937
South America,2019,1.922
South America,2020,1.908
